,ecpt,vanilla,Need Fix,Urgent Attention
abort01,PASS,PASS,False,False
accept01,PASS,PASS,False,False
accept02,FAIL,PASS,True,True
accept4_01,FAIL,PASS,True,True
access01,PASS,PASS,False,False
access02,PASS,PASS,False,False
access03,PASS,PASS,False,False
access04,PASS,PASS,False,False
acct01,PASS,PASS,False,False
acct02,FAIL,PASS,True,True
add_key01,PASS,PASS,False,False
add_key02,PASS,PASS,False,False
add_key03,PASS,PASS,False,False
add_key04,PASS,PASS,False,False
add_key05,PASS,FAIL,False,False
adjtimex01,PASS,PASS,False,False
adjtimex02,PASS,PASS,False,False
adjtimex03,PASS,PASS,False,False
alarm02,PASS,PASS,False,False
alarm03,PASS,PASS,False,False
alarm05,PASS,PASS,False,False
alarm06,PASS,PASS,False,False
alarm07,PASS,PASS,False,False
bind01,FAIL,PASS,True,True
bind02,PASS,PASS,False,False
bind03,PASS,PASS,False,False
bind04,FAIL,PASS,True,True
bind05,FAIL,PASS,True,True
bind06,FAIL,PASS,True,True
brk01,PASS,PASS,False,False
brk02,PASS,PASS,False,False
cacheflush01,CONF,CONF,False,False
capget01,PASS,PASS,False,False
capget02,PASS,PASS,False,False
capset01,PASS,PASS,False,False
capset02,PASS,PASS,False,False
capset03,PASS,PASS,False,False
capset04,PASS,PASS,False,False
chdir01,PASS,PASS,False,False
chdir01A,PASS,PASS,False,False
chdir04,PASS,PASS,False,False
chmod01,PASS,PASS,False,False
chmod01A,PASS,PASS,False,False
chmod03,PASS,PASS,False,False
chmod05,PASS,PASS,False,False
chmod06,PASS,PASS,False,False
chmod07,PASS,PASS,False,False
chown01,PASS,PASS,False,False
chown01_16,CONF,CONF,False,False
chown02,PASS,PASS,False,False
chown02_16,CONF,CONF,False,False
chown03,PASS,PASS,False,False
chown03_16,CONF,CONF,False,False
chown04,PASS,PASS,False,False
chown04_16,CONF,CONF,False,False
chown05,PASS,PASS,False,False
chown05_16,CONF,CONF,False,False
chroot01,PASS,PASS,False,False
chroot02,PASS,PASS,False,False
chroot03,PASS,PASS,False,False
chroot04,PASS,PASS,False,False
clock_adjtime01,PASS,PASS,False,False
clock_adjtime02,PASS,PASS,False,False
clock_getres01,PASS,PASS,False,False
clock_gettime01,PASS,PASS,False,False
clock_gettime02,PASS,PASS,False,False
clock_gettime03,FAIL,PASS,True,True
clock_gettime04,PASS,PASS,False,False
clock_nanosleep01,PASS,PASS,False,False
clock_nanosleep02,PASS,PASS,False,False
clock_nanosleep03,FAIL,PASS,True,True
clock_nanosleep04,PASS,PASS,False,False
clock_settime01,PASS,PASS,False,False
clock_settime02,PASS,PASS,False,False
clock_settime03,PASS,PASS,False,False
